id;node_name;cpu_usage;ram_usage;uptime;created_at
2372;prx2;0.4;18.21;865332;2025-12-23 14:40:53.801350+00:00
2371;prx3;0.89;24.36;865371;2025-12-23 14:40:48.833638+00:00
2370;prx1;0.09;3.28;865248;2025-12-23 14:40:46.155294+00:00
2369;prx2;0.39;18.21;865317;2025-12-23 14:40:38.649410+00:00
2368;prx3;0.73;24.37;865356;2025-12-23 14:40:33.680324+00:00
2367;prx1;0.06;3.28;865233;2025-12-23 14:40:31.002532+00:00
2366;prx2;0.4;18.21;865302;2025-12-23 14:40:23.513038+00:00
2365;prx3;1.48;24.36;865340;2025-12-23 14:40:18.500486+00:00
2364;prx1;0.08;3.28;865218;2025-12-23 14:40:15.837042+00:00
2363;prx2;0.48;18.21;865287;2025-12-23 14:40:08.370994+00:00
2362;prx3;0.7;24.35;865325;2025-12-23 14:40:03.306084+00:00
2361;prx3;0.71;24.34;865323;2025-12-23 14:40:00.701600+00:00
2360;prx2;0.4;18.22;865272;2025-12-23 14:39:53.229040+00:00
2359;prx3;0.85;24.35;865310;2025-12-23 14:39:48.137135+00:00
2358;prx3;0.88;24.35;865307;2025-12-23 14:39:45.554072+00:00
2357;prx2;0.4;18.21;865256;2025-12-23 14:39:38.104913+00:00
2356;prx3;0.84;24.35;865295;2025-12-23 14:39:32.970737+00:00
2355;prx3;0.66;24.34;865292;2025-12-23 14:39:30.395925+00:00
2354;prx2;0.37;18.21;865241;2025-12-23 14:39:22.972301+00:00
2353;prx3;1.28;24.35;865280;2025-12-23 14:39:17.804053+00:00
2352;prx1;0.1;3.27;865157;2025-12-23 14:39:15.238927+00:00
2351;prx2;0.4;18.21;865226;2025-12-23 14:39:07.840471+00:00
2350;prx3;1.02;24.36;865265;2025-12-23 14:39:02.605147+00:00
2349;prx3;0.63;24.36;865262;2025-12-23 14:39:00.090123+00:00
2348;prx2;0.39;18.21;865211;2025-12-23 14:38:52.706158+00:00
2347;prx3;0.85;24.38;865249;2025-12-23 14:38:47.421539+00:00
2346;prx1;0.07;3.26;865127;2025-12-23 14:38:44.938766+00:00
2345;prx2;0.39;18.21;865196;2025-12-23 14:38:37.590249+00:00
2344;prx3;0.62;24.37;865234;2025-12-23 14:38:32.255364+00:00
2343;prx3;1.02;24.36;865232;2025-12-23 14:38:29.806940+00:00
2342;prx2;0.43;18.21;865181;2025-12-23 14:38:22.442420+00:00
2341;prx3;0.94;24.37;865219;2025-12-23 14:38:17.068145+00:00
2340;prx1;0.08;3.28;865097;2025-12-23 14:38:14.644262+00:00
2339;prx2;0.42;18.21;865166;2025-12-23 14:38:07.307754+00:00
2338;prx3;0.6;24.37;865204;2025-12-23 14:38:01.890861+00:00
2337;prx1;0.08;3.28;865082;2025-12-23 14:37:59.477163+00:00
2336;prx2;0.38;18.22;865150;2025-12-23 14:37:52.160416+00:00
2335;prx3;0.89;24.38;865189;2025-12-23 14:37:46.725167+00:00
2334;prx3;0.89;24.36;865186;2025-12-23 14:37:44.341992+00:00
2333;prx2;0.37;18.22;865135;2025-12-23 14:37:37.043900+00:00
2332;prx3;0.64;24.38;865173;2025-12-23 14:37:31.525884+00:00
2331;prx1;0.07;3.27;865051;2025-12-23 14:37:29.193695+00:00
2330;prx2;0.38;18.21;865120;2025-12-23 14:37:21.679085+00:00
2329;prx3;0.53;24.38;865158;2025-12-23 14:37:16.357760+00:00
2328;prx3;1.32;24.38;865156;2025-12-23 14:37:14.062078+00:00
2327;prx2;0.42;18.21;865105;2025-12-23 14:37:06.544818+00:00
2326;prx3;0.73;24.37;865143;2025-12-23 14:37:01.176763+00:00
2325;prx3;0.81;24.37;865141;2025-12-23 14:36:58.895344+00:00
2324;prx2;0.4;18.21;865090;2025-12-23 14:36:51.411949+00:00
2323;prx3;0.68;24.37;865128;2025-12-23 14:36:46.012529+00:00
2322;prx1;0.09;3.28;865006;2025-12-23 14:36:43.734201+00:00
2321;prx2;0.41;18.21;865075;2025-12-23 14:36:36.285071+00:00
2320;prx3;0.95;24.38;865113;2025-12-23 14:36:30.829675+00:00
2319;prx1;0.08;3.26;864991;2025-12-23 14:36:28.594716+00:00
2318;prx2;0.35;18.2;865059;2025-12-23 14:36:21.136228+00:00
2317;prx3;1.29;24.37;865098;2025-12-23 14:36:15.644184+00:00
2316;prx1;0.08;3.27;864976;2025-12-23 14:36:13.446985+00:00
2315;prx2;0.53;18.21;865044;2025-12-23 14:36:05.999401+00:00
2314;prx3;0.96;24.38;865082;2025-12-23 14:36:00.446530+00:00
2313;prx3;0.64;24.37;865080;2025-12-23 14:35:58.311426+00:00
2312;prx2;0.35;18.21;865029;2025-12-23 14:35:50.881429+00:00
2311;prx3;0.85;24.38;865067;2025-12-23 14:35:45.280409+00:00
2310;prx1;0.08;3.28;864945;2025-12-23 14:35:43.131572+00:00
2309;prx2;0.42;18.2;865014;2025-12-23 14:35:35.748823+00:00
2308;prx3;0.54;24.37;865052;2025-12-23 14:35:30.083635+00:00
2307;prx3;0.69;24.36;865050;2025-12-23 14:35:27.997854+00:00
2306;prx2;0.35;18.21;864999;2025-12-23 14:35:20.627998+00:00
2305;prx3;1.55;24.37;865037;2025-12-23 14:35:14.884711+00:00
2304;prx1;0.08;3.29;864915;2025-12-23 14:35:12.820058+00:00
2303;prx2;0.42;18.21;864984;2025-12-23 14:35:05.491518+00:00
2302;prx3;0.84;24.37;865022;2025-12-23 14:34:59.680937+00:00
2301;prx1;0.08;3.28;864900;2025-12-23 14:34:57.657676+00:00
2300;prx2;0.43;18.21;864969;2025-12-23 14:34:50.353910+00:00
2299;prx3;0.97;24.36;865006;2025-12-23 14:34:44.495095+00:00
2298;prx1;0.09;3.28;864885;2025-12-23 14:34:42.515197+00:00
2297;prx2;0.42;18.2;864953;2025-12-23 14:34:35.197394+00:00
2296;prx3;0.74;24.36;864991;2025-12-23 14:34:29.320478+00:00
2295;prx1;0.08;3.29;864869;2025-12-23 14:34:27.364567+00:00
2294;prx2;0.39;18.2;864938;2025-12-23 14:34:20.036504+00:00
2293;prx3;0.66;24.35;864976;2025-12-23 14:34:14.153508+00:00
2292;prx3;1.64;24.34;864974;2025-12-23 14:34:12.216900+00:00
2291;prx2;0.42;18.2;864923;2025-12-23 14:34:04.886922+00:00
2290;prx3;0.81;24.36;864961;2025-12-23 14:33:58.933718+00:00
2289;prx1;0.08;3.27;864839;2025-12-23 14:33:57.023310+00:00
2288;prx2;0.4;18.19;864908;2025-12-23 14:33:49.670144+00:00
2287;prx3;1.08;24.36;864946;2025-12-23 14:33:43.757262+00:00
2286;prx1;0.08;3.29;864824;2025-12-23 14:33:41.858354+00:00
2285;prx2;0.0;18.2;864893;2025-12-23 14:33:34.522853+00:00
2284;prx3;0.49;24.37;864930;2025-12-23 14:33:28.563625+00:00
2283;prx3;0.96;24.35;864929;2025-12-23 14:33:26.682413+00:00
2282;prx2;0.35;18.2;864878;2025-12-23 14:33:19.367850+00:00
